precio,marca,gastos_envio,garantía,altura,anchura,profundidad,capacidad,puertas,baldas,instalación,consumo_anual,eficiencia,ruido,refrigeración,color
418.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,4,NoFrost,293.0,F,41,NoFrost,Inox
393.49,INDESIT,37.0,3,180.0,70.0,69.0,333.0,2,5,Cíclico,282.0,F,44,Cíclico,Blanco
437.49,INDESIT,37.0,3,189.0,60.0,66.0,230.0,2,4,Cíclico,247.0,E,40,Cíclico,Inox
406.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,4,NoFrost,293.0,F,41,NoFrost,Blanco
455.2,KROMSLINE,37.0,5,185.0,60.0,66.0,211.0,2,4,NoFrost,256.0,E,41,NoFrost,Blanco
741.49,BOSCH,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,238.0,E,39,NoFrost,Inox
951.2,KROMSLINE,78.0,5,184.0,75.0,69.0,259.0,4,3,NoFrost,331.0,F,42,NoFrost,Inox
571.49,BALAY,37.0,3,82.0,60.0,55.0,137.0,1,3,Cíclico,114.0,F,38,Cíclico,Blanco
1608.61,SMEG,37.0,3,172.0,60.0,77.0,222.0,2,4,Cíclico,168.0,D,37,Cíclico,Azul
730.99,BOSCH,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,191.0,D,36,NoFrost,Inox
437.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,4,NoFrost,235.0,E,41,NoFrost,Blanco
1026.99,BALAY,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Blanco
477.49,BALAY,37.0,3,186.0,60.0,66.0,216.0,2,4,NoFrost,239.0,E,42,NoFrost,Blanco
416.99,WINIA,37.0,3,186.0,60.0,66.98464912280701,207.0,2,4,NoFrost,239.0,E,41,NoFrost,Inox
1149.99,BALAY,37.0,3,203.0,70.0,67.0,330.0,2,5,NoFrost,259.0,E,40,NoFrost,Blanco
540.49,LG,37.0,3,186.0,60.0,68.0,234.0,2,4,NoFrost,214.0,D,35,NoFrost,Blanco
973.49,SIEMENS,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,191.0,D,36,NoFrost,Inox
400.99,WINIA,37.0,3,186.0,60.0,66.98464912280701,207.0,2,4,NoFrost,299.0,F,41,NoFrost,Inox
974.99,BOSCH,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Inox
1461.49,BALAY,37.0,3,203.0,70.0,67.0,330.0,2,5,NoFrost,207.0,D,36,NoFrost,Blanco
547.49,FAGOR,37.0,3,186.0,60.0,60.0,206.0,2,4,NoFrost,239.0,E,38,NoFrost,Inox
377.49,WINIA,37.0,3,185.0,60.0,66.98464912280701,221.0,2,4,NoFrost,250.0,E,40,NoFrost,Inox
476.49,BEKO,37.0,3,187.0,60.0,66.0,210.0,2,4,Libre,247.0,E,37,NoFrost,Inox
506.99,INDESIT,37.0,3,203.0,60.0,68.0,263.0,2,4,NoFrost,254.0,E,39,NoFrost,Blanco
819.49,LG,37.0,3,203.0,60.0,66.98464912280701,263.1327623126338,2,4,NoFrost,228.83690987124464,D,38,NoFrost,Negro
837.99,BALAY,37.0,3,203.0,70.0,67.0,330.0,2,5,NoFrost,259.0,E,40,NoFrost,Inox
797.99,BOSCH,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,191.0,D,36,NoFrost,Blanco
1513.49,LG,78.0,3,179.0,91.0,74.0,405.0,2,4,NoFrost,419.0,E,39,NoFrost,Inox
1022.49,WINIA,78.0,3,179.0,90.0,66.98464912280701,334.0,2,4,NoFrost,397.0,F,40,NoFrost,Inox
699.49,LG,37.0,3,203.0,60.0,68.0,107.0,2,3,NoFrost,172.0,C,35,NoFrost,Blanco
408.45,ARISTON HOTPOINT,37.0,3,188.0,60.0,63.0,366.0,1,5,Cíclico,148.0,F,38,Cíclico,Inox
1061.49,SIEMENS,37.0,3,203.0,60.0,66.0,368.0,2,5,NoFrost,191.0,D,36,NoFrost,Inox
1026.99,BALAY,37.0,3,203.0,60.0,60.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Gris
1244.49,SIEMENS,37.0,3,177.0,56.0,55.0,192.0,2,5,LowFrost,219.0,E,36,LowFrost,Inox
495.2,KROMSLINE,37.0,5,185.0,60.0,66.0,211.0,2,3,NoFrost,256.0,E,41,NoFrost,Inox
863.2,KROMSLINE,78.0,3,181.0,91.0,66.0,328.0,2,4,NoFrost,402.0,E,42,NoFrost,Inox
661.49,BOSCH,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,238.0,E,39,NoFrost,Blanco
740.0,LG,37.0,3,203.0,60.0,68.0,277.0,2,4,NoFrost,172.0,C,35,NoFrost,Inox
791.99,SIEMENS,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Blanco
1092.49,BALAY,37.0,3,177.0,56.0,55.0,187.0,2,5,NoFrost,277.0,F,39,NoFrost,Blanco
591.49,LG,37.0,3,186.0,60.0,68.0,234.0,2,5,NoFrost,214.0,D,35,NoFrost,Inox
651.49,BALAY,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,AceroMate
903.2,KROMSLINE,78.0,5,184.0,75.0,69.0,259.0,4,3,NoFrost,331.0,F,42,NoFrost,Inox
730.65,SIEMENS,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Blanco
847.49,BOSCH,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,Inox
519.49,INDESIT,37.0,3,203.0,60.0,68.0,263.0,2,4,NoFrost,254.0,E,39,NoFrost,Inox
481.49,BALAY,37.0,3,176.0,60.0,66.0,193.0,2,3,NoFrost,237.0,E,42,NoFrost,Inox
727.49,BOSCH,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,Blanco
341.49,BEKO,37.0,3,175.0,60.0,59.0,237.0,2,5,Cíclico,260.0,F,39,Cíclico,Blanco
781.49,BALAY,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,238.0,E,39,NoFrost,Blanco
416.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,5,NoFrost,235.0,E,41,NoFrost,Blanco
850.49,BALAY,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Blanco
794.49,BOSCH,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,191.0,D,36,NoFrost,Inox
644.99,ARISTON HOTPOINT,37.0,3,203.0,60.0,68.0,263.0,2,3,NoFrost,203.0,D,37,NoFrost,Inox
350.49,INDESIT,37.0,3,167.0,60.0,65.0,323.0,1,5,Cíclico,142.0,F,40,Cíclico,Blanco
451.99,FAGOR,37.0,3,186.0,60.0,60.0,206.0,2,4,NoFrost,239.0,E,38,NoFrost,Blanco
817.49,LG,37.0,3,203.0,60.0,66.98464912280701,263.1327623126338,2,4,NoFrost,228.83690987124464,D,38,NoFrost,Blanco
896.49,SIEMENS,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,Blanco
1150.49,LG,78.0,3,179.0,91.0,74.0,416.0,2,4,NoFrost,430.0,F,36,NoFrost,Inox
311.99,TEKA,37.0,3,176.0,60.0,55.0,225.0,2,4,Cíclico,260.0,F,41,Cíclico,Blanco
490.99,BEKO,37.0,3,204.0,60.0,66.0,249.0,2,5,Libre,212.0,E,35,NoFrost,Inox
639.0,SMEG,37.0,3,185.0,60.0,66.0,220.0,2,4,NoFrost,207.0,D,37,NoFrost,Inox
568.49,BEKO,37.0,3,194.0,54.0,55.0,215.0,2,4,Libre,279.0,F,38,NoFrost,Blanco
466.45,BEKO,37.0,3,204.0,60.0,66.0,249.0,2,5,Libre,212.0,E,35,NoFrost,Blanco
256.49,WINIA,37.0,3,161.0,54.0,66.98464912280701,201.0,2,5,Estático,223.0,F,40,Estático,Blanco
563.95,BEKO,37.0,3,178.0,54.0,55.0,185.0,2,3,Libre,224.0,E,38,NoFrost,Blanco
1008.99,LG,78.0,10,179.0,91.0,74.0,416.0,2,4,Libre,420.0,F,36,NoFrost,Inox
1708.49,LG,78.0,3,179.0,84.0,74.0,220.0,4,3,NoFrost,314.0,F,40,NoFrost,Inox
427.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,5,NoFrost,235.0,E,41,NoFrost,Inox
503.2,KROMSLINE,37.0,5,195.0,60.0,66.0,235.0,2,3,NoFrost,262.0,E,41,NoFrost,Blanco
1130.99,BALAY,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Negro
541.49,BALAY,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,Blanco
1060.49,BOSCH,37.0,3,203.0,70.0,67.0,330.0,2,5,NoFrost,259.0,E,40,NoFrost,Inox
699.49,LG,37.0,3,203.0,60.0,68.0,277.0,2,5,NoFrost,172.0,C,35,NoFrost,Blanco
580.49,LG,37.0,3,203.0,60.0,68.0,277.0,2,5,NoFrost,215.0,D,35,NoFrost,Inox
391.49,BEKO,37.0,3,185.0,60.0,66.0,402.0,1,6,Cíclico,153.0,F,38,Cíclico,Inox
650.99,BOSCH,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Inox
1077.49,BOSCH,37.0,3,203.0,70.0,67.0,330.0,2,5,NoFrost,259.0,E,40,NoFrost,Blanco
736.49,BOSCH,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,191.0,D,36,NoFrost,Inox
498.49,BEKO,37.0,3,187.0,60.0,71.0,365.0,1,6,Libre,143.0,E,35,NoFrost,Blanco
2130.49,SIEMENS,37.0,3,177.0,56.0,55.0,156.0,2,3,Cíclico,201.0,D,37,Cíclico,Inox
1747.96,SMEG,78.0,3,182.0,91.0,0.0,376.0,4,3,NoFrost,406.0,F,39,NoFrost,Inox
351.49,BEKO,37.0,3,185.0,60.0,66.0,402.0,1,4,Cíclico,153.0,F,38,Cíclico,Blanco
525.49,BEKO,37.0,3,192.0,70.0,75.0,356.0,2,4,Libre,343.0,E,38,NoFrost,Blanco
729.0,LG,37.0,3,203.0,60.0,68.0,277.0,2,5,NoFrost,172.0,C,35,NoFrost,Inox
1581.99,LG,78.0,3,179.0,91.0,74.0,405.0,2,4,NoFrost,376.0,E,39,NoFrost,Inox
259.15,WINIA,37.0,3,143.0,55.0,66.98464912280701,198.0,2,4,Cíclico,234.0,F,40,Cíclico,Blanco
289.49,TEKA,37.0,3,159.0,55.0,55.0,194.0,2,4,Cíclico,221.0,F,40,Cíclico,Blanco
168.99,TEKA,37.0,3,180.4831223628692,63.72573839662447,66.98464912280701,263.1327623126338,2,4,Libre,228.83690987124464,E,38,NoFrost,Inox
883.99,BALAY,37.0,3,186.0,60.0,65.0,346.0,1,7,Estático,116.0,E,39,Estático,Inox
491.49,FAGOR,37.0,3,186.0,60.0,60.0,206.0,2,4,NoFrost,239.0,E,38,NoFrost,Inox
361.49,WINIA,37.0,3,186.0,60.0,66.98464912280701,207.0,2,4,NoFrost,299.0,F,41,NoFrost,Blanco
699.49,LG,37.0,3,203.0,60.0,68.0,277.0,2,4,NoFrost,215.0,D,35,NoFrost,Negro
2020.49,LG,78.0,3,179.0,91.0,74.0,416.0,2,4,NoFrost,348.0,E,36,NoFrost,Inox
539.49,BEKO,37.0,3,187.0,60.0,71.0,365.0,1,6,Libre,143.0,E,35,NoFrost,Inox
565.49,INDESIT,37.0,3,203.0,60.0,68.0,263.0,2,4,NoFrost,203.0,D,37,NoFrost,Inox
1427.94,SMEG,37.0,3,169.0,59.0,72.0,231.0,2,4,Cíclico,212.0,E,41,Cíclico,Verde
543.2,KROMSLINE,37.0,5,195.0,60.0,66.0,234.0,2,3,NoFrost,232.0,E,41,NoFrost,Inox
705.9,SMEG,37.0,3,200.0,60.0,66.0,255.0,2,5,NoFrost,211.0,D,37,NoFrost,Inox
735.49,EDESA,37.0,3,180.4831223628692,63.72573839662447,66.98464912280701,263.1327623126338,2,4,Libre,228.83690987124464,E,38,NoFrost,Inox
900.99,SIEMENS,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Inox
2860.49,LG,78.0,3,179.0,91.0,74.0,365.0,4,3,NoFrost,450.0,F,40,NoFrost,Negro
426.49,INDESIT,37.0,3,189.0,60.0,66.0,230.0,2,4,Cíclico,248.0,E,40,Cíclico,Blanco
221.49,TEKA,37.0,3,143.0,55.0,55.0,163.0,2,4,Cíclico,221.0,F,40,Cíclico,Blanco
237.49,WINIA,37.0,3,165.0,55.0,66.98464912280701,198.0,2,4,Cíclico,234.0,F,40,Cíclico,Blanco
493.49,WINIA,37.0,3,201.0,60.0,66.98464912280701,266.0,2,5,NoFrost,313.0,F,41,NoFrost,Inox
773.99,BALAY,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,Inox
161.49,BEKO,37.0,3,82.0,48.0,50.0,88.0,1,3,Cíclico,106.0,F,40,Cíclico,Blanco
591.2,KROMSLINE,37.0,5,176.0,72.0,65.0,312.0,2,4,NoFrost,299.0,F,41,NoFrost,Blanco
589.2,LG,37.0,10,203.0,60.0,68.0,277.0,2,3,Libre,215.0,D,38,NoFrost,Inox
719.99,BEKO,78.0,3,179.0,91.0,71.0,368.0,2,5,Libre,327.0,E,38,NoFrost,Inox
351.75,INDESIT,37.0,3,188.0,60.0,63.0,368.0,1,6,Cíclico,148.0,F,38,Cíclico,Blanco
510.99,ARISTON HOTPOINT,37.0,3,191.0,60.0,68.0,239.0,2,4,NoFrost,253.0,E,40,NoFrost,Inox
360.49,ROMMER,37.0,3,143.0,55.0,56.0,237.0,1,5,Cíclico,129.0,F,40,Cíclico,Blanco
1022.49,LG,78.0,3,179.0,91.0,74.0,416.0,2,4,NoFrost,430.0,F,36,NoFrost,Inox
1156.49,LG,37.0,3,184.0,86.0,73.0,418.0,2,3,NoFrost,323.0,E,39,NoFrost,Inox
764.49,SIEMENS,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,238.0,E,39,NoFrost,Inox
702.49,LG,37.0,3,203.0,60.0,68.0,277.0,2,4,NoFrost,193.0,D,36,NoFrost,Inox
685.49,INDESIT,37.0,3,177.0,54.0,55.0,182.0,2,4,NoFrost,280.0,F,34,NoFrost,Blanco
803.49,BALAY,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,191.0,D,36,NoFrost,Inox
1079.55,BOSCH,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,273.0,E,39,NoFrost,Gris
498.49,WINIA,37.0,3,201.0,60.0,65.0,266.0,2,5,NoFrost,313.0,F,41,NoFrost,Blanco
711.2,KROMSLINE,37.0,5,201.0,60.0,63.0,250.0,2,5,NoFrost,240.0,E,41,NoFrost,Blanco
579.49,BEKO,37.0,3,192.0,70.0,75.0,386.0,2,3,Libre,343.0,E,38,NoFrost,Inox
631.2,KROMSLINE,37.0,5,176.0,72.0,66.0,312.0,2,4,NoFrost,299.0,F,41,NoFrost,Blanco
431.2,KROMSLINE,37.0,5,170.0,60.0,60.0,330.0,1,6,Cíclico,142.0,F,42,Cíclico,Inox
663.2,KROMSLINE,78.0,3,180.0,84.0,62.0,266.0,2,5,NoFrost,362.0,F,42,NoFrost,Inox
395.49,ARISTON HOTPOINT,37.0,3,188.0,60.0,63.0,366.0,1,5,Cíclico,114.0,F,38,Cíclico,Blanco
1360.49,BALAY,78.0,3,179.0,91.0,71.0,372.0,2,5,NoFrost,413.0,F,42,NoFrost,Inox
911.49,BEKO,37.0,3,183.0,84.0,75.0,387.0,2,4,Libre,378.0,F,38,NoFrost,Inox
639.2,KROMSLINE,37.0,5,188.0,60.0,63.0,219.0,2,5,NoFrost,232.0,E,41,NoFrost,Blanco
743.2,KROMSLINE,78.0,3,181.0,91.0,66.0,348.0,2,4,NoFrost,402.0,F,42,NoFrost,Inox
857.49,ARISTON HOTPOINT,37.0,3,196.0,70.0,78.0,302.0,2,3,NoFrost,360.0,F,41,NoFrost,Inox
711.2,KROMSLINE,37.0,5,201.0,60.0,63.0,250.0,2,5,NoFrost,240.0,E,41,NoFrost,Negro
576.49,ARISTON HOTPOINT,37.0,3,191.0,60.0,68.0,231.0,2,3,NoFrost,252.0,E,39,NoFrost,Inox
562.4,ARISTON HOTPOINT,37.0,3,189.0,60.0,68.0,234.0,2,4,NoFrost,271.0,E,40,NoFrost,Blanco
751.2,KROMSLINE,37.0,5,178.0,80.0,68.0,369.0,2,5,NoFrost,262.0,E,39,NoFrost,Inox
711.2,KROMSLINE,37.0,5,178.0,79.0,68.0,369.0,2,5,NoFrost,262.0,E,39,NoFrost,Blanco
836.49,SIEMENS,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,238.0,E,39,NoFrost,Inox
2135.99,BOSCH,78.0,3,179.0,91.0,71.0,372.0,2,5,NoFrost,413.0,F,42,NoFrost,Inox
639.2,KROMSLINE,37.0,5,188.0,60.0,63.0,219.0,2,5,NoFrost,232.0,E,41,NoFrost,Negro
1065.49,TEKA,37.0,3,180.4831223628692,63.72573839662447,66.98464912280701,263.1327623126338,2,4,Libre,228.83690987124464,E,38,NoFrost,Blanco
550.49,BALAY,37.0,3,176.0,60.0,66.0,193.0,2,3,NoFrost,237.0,E,42,NoFrost,Blanco
819.49,ARISTON HOTPOINT,37.0,3,196.0,70.0,76.0,309.0,2,3,NoFrost,233.0,D,40,NoFrost,Inox
507.49,TEKA,37.0,3,171.0,60.0,66.0,367.0,1,5,Cíclico,148.0,F,38,Cíclico,Blanco
1354.49,SMEG,37.0,3,153.0,60.0,73.0,244.0,1,3,Cíclico,130.0,D,35,Cíclico,Rojo
1947.44,SMEG,37.0,3,153.0,60.0,73.0,244.0,1,3,Cíclico,130.0,D,35,Cíclico,Inox
1693.33,SMEG,37.0,3,153.0,60.0,73.0,244.0,1,3,Cíclico,130.0,D,35,Cíclico,Inox
939.99,BOSCH,37.0,3,178.0,56.0,55.0,319.0,1,7,Cíclico,115.0,E,37,Cíclico,Inox
631.4,SMEG,37.0,3,185.0,60.0,59.0,204.0,2,3,NoFrost,242.0,E,38,NoFrost,Blanco
1545.99,BOSCH,37.0,3,203.0,60.0,67.0,260.0,2,5,NoFrost,129.0,B,33,NoFrost,Inox
230.99,TEKA,37.0,3,85.0,55.0,57.0,133.0,1,3,Cíclico,113.0,F,39,Cíclico,Blanco
416.49,INDESIT,37.0,3,167.0,60.0,65.0,323.0,1,5,Cíclico,142.0,F,40,Cíclico,Inox
433.95,ROMMER,37.0,3,181.0,54.0,60.0,204.0,2,4,Estático,280.0,F,40,Estático,Blanco
1027.49,BALAY,37.0,3,203.0,60.0,67.0,260.0,2,5,NoFrost,162.0,C,35,NoFrost,Blanco
668.39,SMEG,37.0,3,200.0,60.0,59.0,235.0,2,4,NoFrost,246.0,E,38,NoFrost,Blanco
